StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Information Sheet,ID,Video Check,Identity items_1,Identity items_2,Identity items_3,Identity items_4,Identity items_5,Identity items_6,Identity items_7,Identity items_8,Identity items_9,Identity items_10,Identity items_11,Identity items_12,Identity Items_1,Identity Items_2,Identity Items_3,Identity Items_4,Identity Items_5,Identity Items_6,Identity Items_7,Identity Items_8,Identity Items_9,Identity Items_10,Identity Items_11,Identity Items_12,Identity Items_13,Immedi. Env._1,Immedi. Env._2,Immedi. Env._3,Immedi. Env._4,Immedi. Env._5,Immedi. Env._6,Immedi. Env._7,Immedi. Env._8,Immedi. Env._9,Immedi. Env._10,Prev. exp._1,Prev. exp._2,Prev. exp._3,Prev. exp._4,Prev. exp._5,Prev. exp._6,Prev. exp._7,Social Int._1,Social Int._2,Social Int._3,Social Int._4,Social Int._5,Social Int._6,Social Int._7,Social Int._8,Social Int._9,Social Int._10,Social Int._11,Social Int._12,Social Int._13,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115_9,Q115_10,Q115_11,Q115_12
2024-05-16 06:43:15,2024-05-16 06:47:42,IP Address,*******,100,266,True,2024-05-16 06:47:42,R_2NfbPtFwMVxyOp5,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",60fd2879efebc21ea3c50f50,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-16 06:39:31,2024-05-16 06:47:54,IP Address,*******,100,503,True,2024-05-16 06:47:55,R_20uhderNmlCpqUu,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",66022f5714b6130ad221da92,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2024-05-16 06:38:44,2024-05-16 06:48:13,IP Address,*******,100,568,True,2024-05-16 06:48:13,R_8ctHlDjz7fQ2g6J,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",646b7a5c0c6dfecf6c86ee5f,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2024-05-16 06:41:47,2024-05-16 06:48:17,IP Address,*******,100,390,True,2024-05-16 06:48:18,R_4c6gssRIw4ClK7W,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",60567c4bedb1f81f9171345c,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
2024-05-16 06:44:51,2024-05-16 06:48:20,IP Address,*******,100,209,True,2024-05-16 06:48:21,R_8ExxQ0pFuvvx2CZ,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5e810a80534c917dec272ab3,No,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-16 06:42:29,2024-05-16 06:48:21,IP Address,*******,100,351,True,2024-05-16 06:48:22,R_22xETEb0WGRmRXV,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",606c0d767169248ed2471e9e,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree
2024-05-16 06:38:17,2024-05-16 06:48:31,IP Address,*******,100,613,True,2024-05-16 06:48:31,R_2ov8taxZc9kEDlB,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5eb73ae37d213464dbf6f8b3,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree
2024-05-16 06:44:48,2024-05-16 06:48:59,IP Address,*******,100,251,True,2024-05-16 06:49:00,R_8O1E90KQuco4XgZ,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5f5f618ef08f64000825ec16,Yes,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2024-05-16 06:40:01,2024-05-16 06:48:59,IP Address,*******,100,537,True,2024-05-16 06:49:00,R_405xfWYOzrJgAhz,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5f277f8d5317c111ba90f496,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
2024-05-16 06:42:20,2024-05-16 06:49:17,IP Address,*******,100,416,True,2024-05-16 06:49:18,R_55ZuOqO6QrtUyyd,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6596d20e9ca7e162ed6b7a2d,Yes,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2024-05-16 06:44:35,2024-05-16 06:49:19,IP Address,*******,100,283,True,2024-05-16 06:49:19,R_838TrEp9bRRRX9E,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",65dd8c60dd3a699049a34898,This was not mentioned,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2024-05-16 06:42:35,2024-05-16 06:49:28,IP Address,*******,100,412,True,2024-05-16 06:49:28,R_28ZdeMtDzOHI9TD,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5d3894798bb75200164c557e,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-16 06:43:28,2024-05-16 06:49:39,IP Address,*******,100,371,True,2024-05-16 06:49:39,R_8xblo5bGiQh8GoV,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5e3021e7f26974026ffd0cf4,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2024-05-16 06:41:16,2024-05-16 06:49:43,IP Address,*******,100,506,True,2024-05-16 06:49:43,R_8FfGnAtOYRbnRVs,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",6107127b74d759e4e85e8820,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
2024-05-16 06:36:37,2024-05-16 06:49:44,IP Address,*******,100,787,True,2024-05-16 06:49:45,R_89KtuXItnvBK2C5,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",612aa50d4ddb0c505d87ea6a,Yes,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree
2024-05-16 06:39:09,2024-05-16 06:49:45,IP Address,*******,100,636,True,2024-05-16 06:49:45,R_2rplHOGv8H406dC,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",615a136253702f4b08947622,Yes,Agree,Agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree
2024-05-16 06:41:25,2024-05-16 06:49:48,IP Address,*******,100,503,True,2024-05-16 06:49:48,R_2SUtKhYlhhKlRQZ,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",610284a1a38509a6059d1bc9,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,,,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,Neither agree nor disagree,Disagree,Disagree
2024-05-16 06:36:39,2024-05-16 06:50:01,IP Address,*******,100,801,True,2024-05-16 06:50:02,R_2snRqLhZ4VQZ7An,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",5f875fd7fa04e81765e7207b,Yes,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree
2024-05-16 06:42:12,2024-05-16 06:50:01,IP Address,*******,100,469,True,2024-05-16 06:50:02,R_8SwR2rt9aRgOGop,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",65aed273a02dd3d9ee57f17e,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2024-05-16 06:42:43,2024-05-16 06:50:06,IP Address,*******,100,442,True,2024-05-16 06:50:06,R_2t9gyXf5rEelROh,*******,*******,*******,*******,*******,*******,anonymous,EN,"I confirm that I have read and understood the above statements, and agree to participate in the study",616d8b61fc7348856d538881,Yes,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree
